rating,date,review,platform,cleaned_review,sentiment
5,30 December 2024,"5/5 stars! Blinkit is my go-to app for last-minute grocery needs
                and more! Their prices are reasonable, and their delivery
                service is incredibly fast - truly living up to its name! It's
                been a huge convenience to be able to order what I need at the
                last minute. Highly recommend!",blinkit,star blinkit goto app lastminute grocery need price reasonable delivery service incredibly fast truly living name huge convenience able order need last minute highly recommend,positive
1,30 December 2024,"Pathetic service as usual nothing has changed since they
                upgraded their service in areas, their customer support agents
                sound so robotic and unnecessary delays on order from the
                warehouse just nearby 1.5kms away, unnecessary charges and
                taxes, where does platform fee goes when their developers
                doesn't use common sense about scanning areas, updating proper
                ETA for order delivery and most importantly accuracy using
                Google Maps for route, Zomato Blinkit service is worst than
                their customer service",blinkit,pathetic service usual nothing changed since upgraded service area customer support agent sound robotic unnecessary delay order warehouse nearby km away unnecessary charge tax platform fee go developer doesnt use common sense scanning area updating proper eta order delivery importantly accuracy using google map route zomato blinkit service worst customer service,negative
3,31 December 2024,"The app keeps crashing. I have tried it on different devices. I
                have been using the app for more than an year but suddenly it
                has started crashing. The same thing is happening in all devices
                at my house. I think they have some software issue.",blinkit,app keep crashing tried different device using app year suddenly started crashing thing happening device house think software issue,neutral
1,29 December 2024,"I am fine with it being overpriced but problem is there is no
                way to return any product. This is really pathetic. Bigbasket
                has instant returns. But here to return a bad product you will
                have to go through hassle of chat with a bot and then with human
                and they will ultimately reject returns no matter how bad the
                product is. I will never order again. very bad experience.",blinkit,fine overpriced problem way return product really pathetic bigbasket instant return return bad product go hassle chat bot human ultimately reject return matter bad product never order bad experience,negative
5,30 December 2024,"Great app everything is perfect. Blinkit doesn't deliver any bad
                stuff all fresh and original products at an affordable rates.
                Great step towards society many old or handicapped people can't
                go to market for household products now they will all be greatly
                benefitted. Keep up the Great work never con your customers by
                sending stale or expired products we trust you don't ever break
                it.",blinkit,great app everything perfect blinkit doesnt deliver bad stuff fresh original product affordable rate great step towards society many old handicapped people cant go market household product greatly benefitted keep great work never con customer sending stale expired product trust dont ever break,positive
1,29 December 2024,"No proper details on the application. I have placed so many
                orders but still they could not help with one of my order. Poor
                service. Wanted to return a item which is useless for me because
                I didn't have an idea about it and ordered. But they don't
                bother to talk also . Awful service. Deleting application. Will
                not place order from now onwards",blinkit,proper detail application placed many order still could help one order poor service wanted return item useless didnt idea ordered dont bother talk also awful service deleting application place order onwards,negative
1,31 December 2024,"Had been using the app for sometime but the the experience is
                becoming worse. The platform fees have increased while the order
                takes half to 1 hr for delivery. This happened not once but
                multiple times.",blinkit,using app sometime experience becoming worse platform fee increased order take half hr delivery happened multiple time,negative
4,31 December 2024,"It was fantastic upto a certain time but then the cash on
                delivery option was not working it was a issue for me because as
                a student I don't use online payment apps so cash on delivery
                was my only option and then I tried to contact with the helpline
                tbh it was useless",blinkit,fantastic upto certain time cash delivery option working issue student dont use online payment apps cash delivery option tried contact helpline tbh useless,positive
1,28 December 2024,"Very pathetic and frustrating experience with blinkit. They
                delivered rotten items with fungus which they refused to return
                and give a refund. Very horrible customer service. Wasted my
                entire morning in trying to return the items. Customer Care is
                unable to resolve even such a small petty issue. Their app
                doesn't have return option.",blinkit,pathetic frustrating experience blinkit delivered rotten item fungus refused return give refund horrible customer service wasted entire morning trying return item customer care unable resolve even small petty issue app doesnt return option,negative
4,31 December 2024,"I haven't used this app but i have heard about it. I installed
                it but the problem is that it's not available in my area and
                that's disappointing. I request blinkit to start it everywhere
                so everyone can use it as it's a very good app.Otherwise i
                totally thik that this app should get full rating............and
                do i have to share my location? Where?",blinkit,havent used app heard installed problem available area thats disappointing request blinkit start everywhere everyone use good appotherwise totally thik app get full ratingand share location,positive
1,17 December 2024,"They have given coupon of Rs. 50 on first order. But it was not
                applied on billing. The payment from my wallet went so fast
                without showing billing details. I immediately tried to cancel
                it within few seconds but they refused cancellation saying your
                items are packed. It is rubbish. They are just making fool of
                public.",blinkit,given coupon r first order applied billing payment wallet went fast without showing billing detail immediately tried cancel within second refused cancellation saying item packed rubbish making fool public,negative
1,17 December 2024,"How can you not let me cancel an order within 1 minute. This is
                not customer friendly at all. I use Blinkit almost every day.
                Today, when I wanted to cancel an erroneous order. Neither the
                App allows me. Not there is any customer care whom I can call to
                and amend it. For the very first time, I am really unhappy with
                your services. Hope you will provide a window for orders placed
                in error. Atleast 1 minute like your competitors.",blinkit,let cancel order within minute customer friendly use blinkit almost every day today wanted cancel erroneous order neither app allows customer care call amend first time really unhappy service hope provide window order placed error atleast minute like competitor,negative
1,17 December 2024,"The worst customer service. I received a product with items
                missing. The first guy I talked to did nothing, the second said
                he'll refund the item but it's been 15 days and I still haven't
                gotten my refund. I had to email them to follow up . How can I
                trust this app to reliably send me the items I paid for, if they
                won't even check the items being sent, or assist properly in
                making the situation correct?",blinkit,worst customer service received product item missing first guy talked nothing second said hell refund item day still havent gotten refund email follow trust app reliably send item paid wont even check item sent assist properly making situation correct,negative
1,25 December 2024,"Blinkit needs see this if you are illegible of getting gift it
                should by default add it to your cart. It has happened several
                times of missing the gift. Accepted that if a person has
                forgotten to add the gift they should provide it again. Rather
                than saying by their executive to have to purchase again.
                Sometimes we are in a hurry that we miss stuff. I guess the
                company knows it I am sure it happens with others also the
                company is taking advantage. This maybe lead to a soft scam.",blinkit,blinkit need see illegible getting gift default add cart happened several time missing gift accepted person forgotten add gift provide rather saying executive purchase sometimes hurry miss stuff guess company know sure happens others also company taking advantage maybe lead soft scam,negative
1,27 December 2024,"Delete this app ASAP if u don't want to waste your money
                Accidentally I clicked on check out and the order got placed and
                with in fraction of seconds I tried to cancel it... the app said
                ur order is packed. how on earth they can pack it in mili
                seconds. And then it promptly said cannot cancel the order.
                Tried to contact the coustomer care and couldn't get through. I
                guess they purposefully put such bugs in the app so that any
                accidental orders are converted into business. Good job on cheap
                trick",blinkit,delete app asap u dont want waste money accidentally clicked check order got placed fraction second tried cancel app said ur order packed earth pack mili second promptly said cancel order tried contact coustomer care couldnt get guess purposefully put bug app accidental order converted business good job cheap trick,negative
1,21 December 2024,"Subject: Complaint Regarding Missing Items in Order Dear Blinkit
                Team, I recently placed an order for groceries and vegetables
                through your platform. Unfortunately, some items were marked as
                out of stock and were not delivered. Upon receiving the order, I
                noticed that certain items were missing, which was not initially
                communicated. I had to raise a complaint to address the issue
                and eventually received a refund. However, I believe this could
                have been avoided with better communication,thanks.",blinkit,subject complaint regarding missing item order dear blinkit team recently placed order grocery vegetable platform unfortunately item marked stock delivered upon receiving order noticed certain item missing initially communicated raise complaint address issue eventually received refund however believe could avoided better communicationthanks,negative
1,27 December 2024,"I din't find this App useful. Most of the stuffs are overpriced,
                on top of that you pay handling charge, delivery charge and high
                demand surcharge. After all these they will take 25 minutes to
                deliver. Then why advertise Grocery in 10 minutes ? If you are
                taking a surcharge, then deliver in 10 mins, else don't charge
                extra. I feel this App is useful only on those days when I am
                too lazy and lethargic to not step out for 10 mins. Good bye
                Blinkit.",blinkit,dint find app useful stuff overpriced top pay handling charge delivery charge high demand surcharge take minute deliver advertise grocery minute taking surcharge deliver min else dont charge extra feel app useful day lazy lethargic step min good bye blinkit,negative
2,25 December 2024,"This app doesn't give you option to share your issues. The
                chatbot has fixed issues and only those can be addressed. It
                doesn't give an opportunity to tell your issues with the order.
                In The name of gift packing, they are merely sending a carry bag
                and putting all the items in it rather than actually packing the
                product in gift form.",blinkit,app doesnt give option share issue chatbot fixed issue addressed doesnt give opportunity tell issue order name gift packing merely sending carry bag putting item rather actually packing product gift form,negative
1,21 December 2024,"I would have given 0 star rating if there was a option, one of
                the worst app ever, non sense app. When we place order it picks
                up some other location, it shows the same location for the
                customer but picks up different location for delivery guy, one
                of the worst experience ever had in blinkit. Not once it
                happened twice with me even after double checking the location
                before confirming the order, waste of time and money 👎👎 Won't
                recommend to anyone",blinkit,would given star rating option one worst app ever non sense app place order pick location show location customer pick different location delivery guy one worst experience ever blinkit happened twice even double checking location confirming order waste time money wont recommend anyone,negative
1,27 December 2024,"Worst experience ever. I am new to this app. All was good with
                few initial orders. But when I ordered an Earbuds, I received
                damaged or fake product. The branded earbuds are discharging
                quickly. And there's no option to return. Or even raise a
                concern. I didn't even get any bill for the product bought. I
                can't even claim warranty from earbuds brand. My money is
                wasted. Or I should say stolen by Blinkit. I promise to never
                buy any thing from Blinkit ever again. Even grocery product.",blinkit,worst experience ever new app good initial order ordered earbuds received damaged fake product branded earbuds discharging quickly there option return even raise concern didnt even get bill product bought cant even claim warranty earbuds brand money wasted say stolen blinkit promise never buy thing blinkit ever even grocery product,negative
1,21 December 2024,"I actually disappointed with the service that there is no
                exchange policy (not talking about 1 or 2 days expired product
                s). For any items that has long expiry you should have exchange
                policy if we place it by mistake(my case Surf 3.21 Top load
                instead of front load). If this happen in a regular retail
                store, we could have easily exchanged it without any issue).
                Blinkit need to review it to improve customer experience.",blinkit,actually disappointed service exchange policy talking day expired product item long expiry exchange policy place mistakemy case surf top load instead front load happen regular retail store could easily exchanged without issue blinkit need review improve customer experience,negative
2,16 December 2024,"It does show items out of stock , only after adding it to the
                cart It shows out of stock. Also app crashes of there is sudden
                increase in price..when i go back ..i see its bit expensive
                now...it is frustrating and so..I switched to Zepto, It has a
                good interface and shows which are out of stock and user
                friendly and clean. If there is any item out of stock plz grey
                it out....instead of giving silly reasons..Also no option for
                return and refund if u get wrong or products in bad shape.",blinkit,show item stock adding cart show stock also app crash sudden increase pricewhen go back see bit expensive nowit frustrating soi switched zepto good interface show stock user friendly clean item stock plz grey outinstead giving silly reasonsalso option return refund u get wrong product bad shape,negative
1,25 December 2024,"Accidentally I clicked on check out and the order got placed and
                with in fraction of seconds I tried to cancel it .. the app said
                ur order is packed.. how on earth they can pack it in mili
                seconds. And then it promptly said cannot cancel the order.
                Tried to contact the coustomer care and couldn't get through. I
                guess they purposefully put such bugs in the app so that any
                accidental orders are converted into business. Good job on cheap
                trick blink it. No more using this tricky app.",blinkit,accidentally clicked check order got placed fraction second tried cancel app said ur order packed earth pack mili second promptly said cancel order tried contact coustomer care couldnt get guess purposefully put bug app accidental order converted business good job cheap trick blink using tricky app,negative
1,27 December 2024,"I understand that there's rain but it stopped raining for 5hours
                but it was still unavailable, it was my first time checking out
                the app after a friend recommended it, and i absolutely regret
                it. The worst thing is that they don't do cash on delivery any
                more apparently, just because some people don't have change
                doesn't mean everyone doesn't.",blinkit,understand there rain stopped raining hour still unavailable first time checking app friend recommended absolutely regret worst thing dont cash delivery apparently people dont change doesnt mean everyone doesnt,negative
5,26 December 2024,"The Blinkit application is just Outstanding. I am using this
                application since a long time and I can say that it's services
                are wonderful. Blinkit is the best 10 minutes delivery app. It's
                delivery speed is literally so fast. I get my every order
                delivered to me in 10-12 minutes. The Crazy deals & heavy
                discounts makes the shopping experience like WOW. You must have
                Blinkit application in your smartphone 💖🤩🤩💝.",blinkit,blinkit application outstanding using application since long time say service wonderful blinkit best minute delivery app delivery speed literally fast get every order delivered minute crazy deal heavy discount make shopping experience like wow must blinkit application smartphone,positive
5,11 December 2024,"Efficient and Reliable Service! I've been using Blinkit for a
                while now, and it has truly made my life easier. The app is
                user-friendly, with a wide range of products available.
                Deliveries are incredibly fast, and the items are always fresh
                and well-packed. Customer service is prompt and helpful whenever
                I've had queries. It's a go-to solution for quick grocery
                shopping, especially for last-minute needs. Highly recommended!",blinkit,efficient reliable service ive using blinkit truly made life easier app userfriendly wide range product available delivery incredibly fast item always fresh wellpacked customer service prompt helpful whenever ive query goto solution quick grocery shopping especially lastminute need highly recommended,positive
1,19 December 2024,"People may find it easy to get and easy to handle to get
                products but they won't know about the cons or their other side
                where they bring other products if the real products are out of
                stock and if they want to refund they make their way in coupons
                so that they make sure you buy only from blinkit , I got the
                option of getting refund of money but they didn't let me choose
                that option so all I had to do is use the coupon",blinkit,people may find easy get easy handle get product wont know con side bring product real product stock want refund make way coupon make sure buy blinkit got option getting refund money didnt let choose option use coupon,negative
1,25 December 2024,"My issue is not with the app, but with the delivery partners. I
                had ordered groceries only to have the delivery partner refuse
                to walk up the stairs to deliver the order. When I went down to
                get the order myself, I asked him why he wouldn't come and just
                hung up on me while I asked him to. He was not fit at all,
                created a scene in the neighborhood, vulgar words and body
                language, having no decency while talking to the elderly either!
                Please do better in hiring your delivery executives, Blinkit.",blinkit,issue app delivery partner ordered grocery delivery partner refuse walk stair deliver order went get order asked wouldnt come hung asked fit created scene neighborhood vulgar word body language decency talking elderly either please better hiring delivery executive blinkit,negative
1,19 December 2024,"Most third rate app. When I contact support, I cannot type my
                issue but need to choose only from their drop downs. Each time
                you are deducting a delivery tip though I have not given you any
                blanket authorisation. For an order less than ₹100, you have
                charged ₹ 175. I had ordered goods worth ₹215, but your
                oversmart app delivered goods with ₹75. Tata bye bye to this
                cheat of an organisation.",blinkit,third rate app contact support type issue need choose drop down time deducting delivery tip though given blanket authorisation order less charged ordered good worth oversmart app delivered good tata bye bye cheat organisation,negative
5,25 December 2024,"The experience is amazing! There are no words to describe
                Blinkits quick and comfortable with simple delivery. Everything
                you need, in just minutes (like literally everything you can
                imagine!) Adding cherry to top, hassle free payments with cost
                effective products. Furthermore, special free treats for you on
                special day. Excellent, must have. Keep it up Blinkit team. ❤️",blinkit,experience amazing word describe blinkits quick comfortable simple delivery everything need minute like literally everything imagine adding cherry top hassle free payment cost effective product furthermore special free treat special day excellent must keep blinkit team,positive
1,24 December 2024,"This is the second time with my bad experience as i had to order
                in emergency i did,but poor quality as all the veggies i ordered
                were damaged and they sent soo poor quality Veggies. When i
                complained them,they asked for replacement to which i agreed but
                when the ordered arrived(new ones) it was more poor quality
                which i showed the delivery executive as well. To which he
                helped me to send them again. So poor quality. I think they sell
                the veggies which are left over in markets at higher price.",blinkit,second time bad experience order emergency didbut poor quality veggie ordered damaged sent soo poor quality veggie complained themthey asked replacement agreed ordered arrivednew one poor quality showed delivery executive well helped send poor quality think sell veggie left market higher price,negative
1,22 December 2024,"Worst app for buying any thing, they can sell duplicate product
                also and If you complain then also they just ignore you buy send
                severals or messages instant of providing help support. I had
                buyed a Sandisk 64 GB pendrive and after receiving it I had use
                it for the first time and the pendrive started heating and when
                ever I use it then it start heating and after some time it get
                eject from my system automatically...after I analyse the
                problem, I had contact to help support, but no support.",blinkit,worst app buying thing sell duplicate product also complain also ignore buy send severals message instant providing help support buyed sandisk gb pendrive receiving use first time pendrive started heating ever use start heating time get eject system automaticallyafter analyse problem contact help support support,negative
1,16 December 2024,"Charging surge charges just to take extra money of our pockets.
                Such a cheap trick. First they'll offer everything for genuine
                delivery rates and then they'll charge extra for no reason and
                guess what that too delivering in 22 minutes. If I'm paying
                surge charges then why it's taking 22 min. Weren't you a 10
                minutes delivery app. Waiting for Amazon to disrupt the market.",blinkit,charging surge charge take extra money pocket cheap trick first theyll offer everything genuine delivery rate theyll charge extra reason guess delivering minute im paying surge charge taking min werent minute delivery app waiting amazon disrupt market,negative
1,25 December 2024,"They show free gift for suppose 1000rs,but free gift do not add
                automatically we have to add it, add button does not show
                properly so that people forget to add, also raise their order
                for that much rupees and get nothing. Instead of my free
                christmas cake they have given me 2rs google card, and i thought
                i was getting a free cake. Very bad experience.",blinkit,show free gift suppose rsbut free gift add automatically add add button show properly people forget add also raise order much rupee get nothing instead free christmas cake given r google card thought getting free cake bad experience,negative
1,27 December 2024,"Lots of surge pricing and poor customer support. Disappointed
                with the app. They say that this surge pricing motivates the
                delivery partner for additional efforts to bring me my order at
                the earliest in ""less than ideal circumstances"". Blinkit, in the
                spirit of transparency, can you prove to your customers that
                there indeed are ""less than ideal circumstances""? The customer
                has the right to know. I feel that this charge is purposely used
                to milk additional amount from the customer.",blinkit,lot surge pricing poor customer support disappointed app say surge pricing motivates delivery partner additional effort bring order earliest less ideal circumstance blinkit spirit transparency prove customer indeed less ideal circumstance customer right know feel charge purposely used milk additional amount customer,negative
1,28 December 2024,"From sending stale / bad products to now surpassing their own
                record. Their delivery time is NOT in their control. The CC
                gives lame excuses. Your order if delivered at some wrong
                address, will never be compensated / delivered. They ask you to
                cancel instead and when you don't, eventually they will. The
                delivery partner changes & is NOT updated on your App. They
                even differentiate between Metros and Growth Markets in the way
                their delivery staff and CC Reps behave. BAD experiences.",blinkit,sending stale bad product surpassing record delivery time control cc give lame excuse order delivered wrong address never compensated delivered ask cancel instead dont eventually delivery partner change updated app even differentiate metro growth market way delivery staff cc rep behave bad experience,negative
1,25 December 2024,"Not resolving the GREVIENCE for the ordered products. I ordered
                two products which has replacement for one day and 24/7 customer
                support. I received a damaged one. I tried to reach out but they
                will only chat. I raised a request for replacement or refund the
                amount with full charges i.e including delivery charges. But
                they given refund without delivery charges and saying that they
                are unable to replace the product because of OPERATIONAL
                RESTRAINTS. And i am able to order again with charges.",blinkit,resolving grevience ordered product ordered two product replacement one day customer support received damaged one tried reach chat raised request replacement refund amount full charge ie including delivery charge given refund without delivery charge saying unable replace product operational restraint able order charge,negative
1,27 December 2024,"Always incomplete order is delivered. I had ordered for print
                service through blinkit for which i had to vomplete the entire
                order. Since there was a surcharge, so had to order for minimum
                700 and guess what the print documents were not delivered.
                Pathetic. Zepto and instamart are far better.",blinkit,always incomplete order delivered ordered print service blinkit vomplete entire order since surcharge order minimum guess print document delivered pathetic zepto instamart far better,negative
1,23 December 2024,"I like this app. But now recent order is . Which I ordered a
                product. That product is missed and so I contacted to customer
                care.but no response. Make sure that check once your order like
                capturing images.and when u receive item check once of your
                order and then sent the delivery man back to his work",blinkit,like app recent order ordered product product missed contacted customer carebut response make sure check order like capturing imagesand u receive item check order sent delivery man back work,negative
1,25 December 2024,"Misleading promotions and marketing tactics are used by blinkit.
                They showed mea free item for order above 500. When I had cart
                below 500 it showed me add for example 200 more for free gift .
                I added 200 more. it showed unlocked free gift. It makes us
                think we are eligible and will receive free gift . However I
                didn't received any. They said on complaining that you need to
                add. Tho whole UI is made to somehow convey you are getting gift
                which in unlocked. misleading so that max people miss it.",blinkit,misleading promotion marketing tactic used blinkit showed mea free item order cart showed add example free gift added showed unlocked free gift make u think eligible receive free gift however didnt received said complaining need add tho whole ui made somehow convey getting gift unlocked misleading max people miss,negative
1,25 December 2024,"they folls customers, when I opened app they said you will free
                item for orders above 499. So I ordered in blinkit, they didn't
                provided free item and they changed words. And they denied to
                cancel order. They don't know that customer cant fool every
                time, now am just deleted their app and I never use it. I
                strongly recommend to my friends not use their app and don't get
                fool.",blinkit,folls customer opened app said free item order ordered blinkit didnt provided free item changed word denied cancel order dont know customer cant fool every time deleted app never use strongly recommend friend use app dont get fool,negative
1,23 December 2024,"It is not accepting even the locations near my house. I gave the
                location of Indore airport, but that too is not being accepted.
                Then I gave the location of Kalani Nagar, but it rejected that
                too. If you are not capable of delivering somewhere , then why
                did you make the app? I gave a location 10 kilometers away from
                my house, but that too is not being accepted. I tried a lot but
                the app did not start. Close this app.😡😡",blinkit,accepting even location near house gave location indore airport accepted gave location kalani nagar rejected capable delivering somewhere make app gave location kilometer away house accepted tried lot app start close app,negative
3,21 December 2024,"some products are not have actual information as well as
                misconduct to user. i mean to say i was purchased nu brand fast
                charging data cable 50W, when i bought and after using that data
                cable on my Vivo V23 Phone Adopter which have 44W that data
                cable is not supported fast charging...😕 so my experience with
                Blinkit is not good...but yes blinkit support is very Good 👍 ❤️",blinkit,product actual information well misconduct user mean say purchased nu brand fast charging data cable w bought using data cable vivo v phone adopter w data cable supported fast charging experience blinkit goodbut yes blinkit support good,neutral
4,25 December 2024,"I like this app but I don't understand one functionality. Maybe
                it is a bug. After buying any product, we get option to provide
                stars and add some review about the product. But while buying
                anything we can see the rating of the products and no of ratings
                which product has received, BUT we cannot read the reviews of
                the product. I think this is basic requirement and advantage
                while buying any product online.",blinkit,like app dont understand one functionality maybe bug buying product get option provide star add review product buying anything see rating product rating product received read review product think basic requirement advantage buying product online,positive
5,24 December 2024,"Blinkit is a game-changer in online grocery shopping. With its
                super-fast delivery, wide product range, and excellent quality,
                it ensures convenience like never before. The app is
                user-friendly, and customer service is prompt, making it a
                reliable choice for everyday needs. Highly recommended for
                hassle-free and efficient shopping!",blinkit,blinkit gamechanger online grocery shopping superfast delivery wide product range excellent quality ensures convenience like never app userfriendly customer service prompt making reliable choice everyday need highly recommended hasslefree efficient shopping,positive
4,21 December 2024,"Would give 4.7 if that were possible. Delivery is always
                flawless and on time. For all packed groceries you get exactly
                what you order. However, in fresh fruits and vegetables, on
                average, the quality is sub par. A few items have been excellent
                and similarly a few items were so bad (beetroot, chikoos) I had
                to simply throw away.",blinkit,would give possible delivery always flawless time packed grocery get exactly order however fresh fruit vegetable average quality sub par item excellent similarly item bad beetroot chikoos simply throw away,positive
5,25 December 2024,"It's actually as quick as shown in the advertisement, love the
                speed. Sometimes if feels, they were standing outside your door
                with the stuff. Excellent work, thanks for making us lazy 😴",blinkit,actually quick shown advertisement love speed sometimes feel standing outside door stuff excellent work thanks making u lazy,positive
2,16 December 2024,"The app was great but i think they need to work on the delivery
                part. Last minute needs will be met only if the service is
                available in that area. All day long it keeps showing not
                available due to excess demand. You can't simply rely on this
                app for urgent needs. Not being available most of the time takes
                away the very purpose for which it was created. Used to depend
                upon it but i have started looking for alternatives.",blinkit,app great think need work delivery part last minute need met service available area day long keep showing available due excess demand cant simply rely app urgent need available time take away purpose created used depend upon started looking alternative,negative
